,SUMMONS,PRECINCT,VIOLATION,DESCRIPTION,TIME,ts_month,ts,dstring,ohe_codes,ohe_pct,features,normFeatures,Quantile,pcaFeatures
600,1472275639,110,67,PEDESTRIAN RAMP,1223A,7,07182021,7.0,"(99,[67],[1.0])","(123,[110],[1.0])","(224,[0,1,112,192],[1472275639.0,7.0,1.0,1.0])","(224,[0,1,112,192],[0.9999999938870143,4.75454444248201e-09,6.792206346402872e-10,6.792206346402872e-10])",29.0,"[-1472275638.9999633,-321.726968182045,-33.36836277684044,31.25504421685426]"
601,1472278641,110,67,PEDESTRIAN RAMP,0310P,7,07102021,7.0,"(99,[67],[1.0])","(123,[110],[1.0])","(224,[0,1,112,192],[1472278641.0,7.0,1.0,1.0])","(224,[0,1,112,192],[0.9999999938870268,4.7545347478889275e-09,6.792192496984181e-10,6.792192496984181e-10])",29.0,"[-1472278640.9999633,-321.72760993088076,-33.36843170476756,31.255108641969628]"
602,1472317051,110,67,PEDESTRIAN RAMP,1205P,7,07152021,7.0,"(99,[67],[1.0])","(123,[110],[1.0])","(224,[0,1,112,192],[1472317051.0,7.0,1.0,1.0])","(224,[0,1,112,192],[0.9999999938871862,4.754410710964661e-09,6.792015301378088e-10,6.792015301378088e-10])",29.0,"[-1472317050.9999633,-321.7358209811076,-33.369313624048175,31.25593294865893]"
603,1472318316,110,67,PEDESTRIAN RAMP,0908A,7,07102021,7.0,"(99,[67],[1.0])","(123,[110],[1.0])","(224,[0,1,112,192],[1472318316.0,7.0,1.0,1.0])","(224,[0,1,112,192],[0.9999999938871915,4.7544066260263385e-09,6.792009465751912e-10,6.792009465751912e-10])",29.0,"[-1472318315.9999633,-321.7360914049175,-33.36934266929394,31.255960096484028]"
604,1472319280,110,67,PEDESTRIAN RAMP,0943A,7,07142021,7.0,"(99,[67],[1.0])","(123,[110],[1.0])","(224,[0,1,112,192],[1472319280.0,7.0,1.0,1.0])","(224,[0,1,112,192],[0.9999999938871955,4.754403513082005e-09,6.792005018688579e-10,6.792005018688579e-10])",29.0,"[-1472319279.9999633,-321.73629748282474,-33.36936480337847,31.255980784629003]"
605,1462126455,122,67,PEDESTRIAN RAMP,0416P,6,06282021,7.0,"(99,[67],[1.0])","(123,[122],[1.0])","(224,[0,1,124,192],[1462126455.0,7.0,1.0,1.0])","(224,[0,1,124,192],[0.9999999938445817,4.787547570166954e-09,6.839353671667076e-10,6.839353671667076e-10])",36.0,"[-1462126454.9999635,-319.56352914815915,-33.47212023828349,31.310742133421797]"
606,1472347262,115,67,PEDESTRIAN RAMP,0210A,6,06282021,7.0,"(99,[67],[1.0])","(123,[115],[1.0])","(224,[0,1,117,192],[1472347262.0,7.0,1.0,1.0])","(224,[0,1,117,192],[0.9999999938873116,4.7543131555137035e-09,6.791875936448147e-10,6.791875936448147e-10])",34.0,"[-1472347261.9999633,-321.7440348103855,-33.73739941228002,31.51899364496999]"
607,1464001625,63,67,PEDESTRIAN RAMP,0350A,7,07142021,7.0,"(99,[67],[1.0])","(123,[63],[1.0])","(224,[0,1,65,192],[1464001625.0,7.0,1.0,1.0])","(224,[0,1,65,192],[0.9999999938524659,4.781415428392889e-09,6.830593469132699e-10,6.830593469132699e-10])",15.0,"[-1464001624.9999635,-319.96385069933433,-33.54608540264847,31.33477230476505]"
608,1464001637,63,67,PEDESTRIAN RAMP,0625A,7,07142021,7.0,"(99,[67],[1.0])","(123,[63],[1.0])","(224,[0,1,65,192],[1464001637.0,7.0,1.0,1.0])","(224,[0,1,65,192],[0.999999993852466,4.781415389201004e-09,6.83059341314429e-10,6.83059341314429e-10])",15.0,"[-1464001636.9999635,-319.9638532646195,-33.546085678176496,31.334772562293825]"
609,1464001868,63,67,PEDESTRIAN RAMP,0345A,7,07142021,7.0,"(99,[67],[1.0])","(123,[63],[1.0])","(224,[0,1,65,192],[1464001868.0,7.0,1.0,1.0])","(224,[0,1,65,192],[0.9999999938524669,4.78141463475733e-09,6.830592335367614e-10,6.830592335367614e-10])",15.0,"[-1464001867.9999635,-319.9639026463587,-33.54609098209094,31.334777519722756]"
610,1472428262,114,67,PEDESTRIAN RAMP,0835A,6,06282021,7.0,"(99,[67],[1.0])","(123,[114],[1.0])","(224,[0,1,116,192],[1472428262.0,7.0,1.0,1.0])","(224,[0,1,116,192],[0.9999999938876479,4.7540516151907e-09,6.791502307415286e-10,6.791502307415286e-10])",33.0,"[-1472428261.9999633,-321.763767004603,-33.75647161290197,31.58428461490721]"
611,1472446460,115,67,PEDESTRIAN RAMP,0710P,7,07052021,7.0,"(99,[67],[1.0])","(123,[115],[1.0])","(224,[0,1,117,192],[1472446460.0,7.0,1.0,1.0])","(224,[0,1,117,192],[0.9999999938877234,4.753992859756724e-09,6.791418371081034e-10,6.791418371081034e-10])",34.0,"[-1472446459.9999633,-321.76524074010166,-33.73967706468301,31.52112250659367]"
612,1472465982,110,67,PEDESTRIAN RAMP,0953A,7,07132021,7.0,"(99,[67],[1.0])","(123,[110],[1.0])","(224,[0,1,112,192],[1472465982.0,7.0,1.0,1.0])","(224,[0,1,112,192],[0.9999999938878045,4.753929831171224e-09,6.791328330244607e-10,6.791328330244607e-10])",29.0,"[-1472465981.9999633,-321.7676585213662,-33.37273317938225,31.25912911683245]"
613,1472518366,110,67,PEDESTRIAN RAMP,0235A,6,06302021,7.0,"(99,[67],[1.0])","(123,[110],[1.0])","(224,[0,1,112,192],[1472518366.0,7.0,1.0,1.0])","(224,[0,1,112,192],[0.999999993888022,4.75376071283321e-09,6.791086732618872e-10,6.791086732618872e-10])",29.0,"[-1472518365.9999633,-321.77885684615353,-33.37393595104577,31.260253315780968]"
614,1465579266,73,67,PEDESTRIAN RAMP,0834P,6,06302021,7.0,"(99,[67],[1.0])","(123,[73],[1.0])","(224,[0,1,75,192],[1465579266.0,7.0,1.0,1.0])","(224,[0,1,75,192],[0.9999999938590834,4.776268414412451e-09,6.823240592017787e-10,6.823240592017787e-10])",20.0,"[-1465579265.9999635,-320.2972573593404,-33.55979909696963,31.33752406236848]"
615,1466141463,44,67,PEDESTRIAN RAMP,0145P,7,07072021,7.0,"(99,[67],[1.0])","(123,[44],[1.0])","(224,[0,1,46,192],[1466141463.0,7.0,1.0,1.0])","(224,[0,1,46,192],[0.9999999938614382,4.774436937829148e-09,6.820624196898784e-10,6.820624196898784e-10])",11.0,"[-1466141462.9999635,-320.41916650734936,-33.58915454640175,31.44252737959998]"
616,1460217482,100,68,NON-COMPLIANCE W/ POSTED SIGN,0610P,6,06282021,11.0,"(99,[68],[1.0])","(123,[100],[1.0])","(224,[0,1,102,193],[1460217482.0,11.0,1.0,1.0])","(224,[0,1,102,193],[0.9999999910972166,7.533124371996378e-09,6.848294883633072e-10,6.848294883633072e-10])",24.0,"[-1460217481.9999626,-323.1527658691316,-33.36789489995498,31.216595181577258]"
617,1462125013,122,68,NON-COMPLIANCE W/ POSTED SIGN,0215P,6,06262021,11.0,"(99,[68],[1.0])","(123,[122],[1.0])","(224,[0,1,124,193],[1462125013.0,11.0,1.0,1.0])","(224,[0,1,124,193],[0.9999999911088315,7.523296437988744e-09,6.839360398171586e-10,6.839360398171586e-10])",36.0,"[-1462125012.9999626,-323.5618911466816,-33.41158272954858,31.264326039907267]"
618,1462126420,122,68,NON-COMPLIANCE W/ POSTED SIGN,0206P,6,06262021,11.0,"(99,[68],[1.0])","(123,[122],[1.0])","(224,[0,1,124,193],[1462126420.0,11.0,1.0,1.0])","(224,[0,1,124,193],[0.9999999911088401,7.523289198342535e-09,6.839353816675032e-10,6.839353816675032e-10])",36.0,"[-1462126419.9999626,-323.5621919263658,-33.41161503520929,31.26435623515621]"
619,1462126479,122,68,NON-COMPLIANCE W/ POSTED SIGN,0142P,6,06282021,11.0,"(99,[68],[1.0])","(123,[122],[1.0])","(224,[0,1,124,193],[1462126479.0,11.0,1.0,1.0])","(224,[0,1,124,193],[0.9999999911088404,7.523288894761371e-09,6.839353540692155e-10,6.839353540692155e-10])",36.0,"[-1462126478.9999626,-323.5622045390178,-33.411616389888735,31.264357501339354]"
620,1462126509,122,68,NON-COMPLIANCE W/ POSTED SIGN,0150P,6,06282021,11.0,"(99,[68],[1.0])","(123,[122],[1.0])","(224,[0,1,124,193],[1462126509.0,11.0,1.0,1.0])","(224,[0,1,124,193],[0.9999999911088405,7.523288740398077e-09,6.839353400361888e-10,6.839353400361888e-10])",36.0,"[-1462126508.9999626,-323.56221095223066,-33.411617078708794,31.264358145161296]"
621,1462126510,122,68,NON-COMPLIANCE W/ POSTED SIGN,0154P,6,06282021,11.0,"(99,[68],[1.0])","(123,[122],[1.0])","(224,[0,1,124,193],[1462126510.0,11.0,1.0,1.0])","(224,[0,1,124,193],[0.9999999911088406,7.523288735252633e-09,6.839353395684211e-10,6.839353395684211e-10])",36.0,"[-1462126509.9999626,-323.56221116600443,-33.411617101669464,31.264358166622028]"
622,1462127230,122,68,NON-COMPLIANCE W/ POSTED SIGN,0429P,7,07072021,11.0,"(99,[68],[1.0])","(123,[122],[1.0])","(224,[0,1,124,193],[1462127230.0,11.0,1.0,1.0])","(224,[0,1,124,193],[0.999999991108845,7.523285030535472e-09,6.839350027759519e-10,6.839350027759519e-10])",36.0,"[-1462127229.9999626,-323.5623650831136,-33.411633633350846,31.264373618348564]"
623,1462127253,122,68,NON-COMPLIANCE W/ POSTED SIGN,0931P,7,07072021,11.0,"(99,[68],[1.0])","(123,[122],[1.0])","(224,[0,1,124,193],[1462127253.0,11.0,1.0,1.0])","(224,[0,1,124,193],[0.9999999911088451,7.523284912190401e-09,6.839349920173091e-10,6.839349920173091e-10])",36.0,"[-1462127252.9999626,-323.5623699999102,-33.41163416144622,31.264374111945383]"
624,1462127265,122,68,NON-COMPLIANCE W/ POSTED SIGN,0433P,7,07072021,11.0,"(99,[68],[1.0])","(123,[122],[1.0])","(224,[0,1,124,193],[1462127265.0,11.0,1.0,1.0])","(224,[0,1,124,193],[0.9999999911088452,7.523284850445147e-09,6.839349864041043e-10,6.839349864041043e-10])",36.0,"[-1462127264.9999626,-323.5623725651953,-33.411634436974246,31.264374369474158]"
625,1462127277,122,68,NON-COMPLIANCE W/ POSTED SIGN,0435P,7,07072021,11.0,"(99,[68],[1.0])","(123,[122],[1.0])","(224,[0,1,124,193],[1462127277.0,11.0,1.0,1.0])","(224,[0,1,124,193],[0.9999999911088453,7.523284788699894e-09,6.839349807908995e-10,6.839349807908995e-10])",36.0,"[-1462127276.9999626,-323.56237513048046,-33.41163471250227,31.264374627002933]"
626,1462145700,122,68,NON-COMPLIANCE W/ POSTED SIGN,1230P,6,06272021,11.0,"(99,[68],[1.0])","(123,[122],[1.0])","(224,[0,1,124,193],[1462145700.0,11.0,1.0,1.0])","(224,[0,1,124,193],[0.9999999911089573,7.523189995496708e-09,6.839263632269734e-10,6.839263632269734e-10])",36.0,"[-1462145699.9999626,-323.5663134845114,-33.412057716899746,31.26476999805571]"
627,1462172714,6,68,NON-COMPLIANCE W/ POSTED SIGN,0950P,6,06142021,11.0,"(99,[68],[1.0])","(123,[6],[1.0])","(224,[0,1,8,193],[1462172714.0,11.0,1.0,1.0])","(224,[0,1,8,193],[0.9999999911091215,7.523051002715085e-09,6.839137275195532e-10,6.839137275195532e-10])",3.0,"[-1462172713.9999626,-323.5758660427321,-33.39964552675744,31.241008981247237]"
628,1462174190,10,68,NON-COMPLIANCE W/ POSTED SIGN,0335P,7,07152021,11.0,"(99,[68],[1.0])","(123,[10],[1.0])","(224,[0,1,12,193],[1462174190.0,11.0,1.0,1.0])","(224,[0,1,12,193],[0.9999999911091305,7.523043408528799e-09,6.839130371389817e-10,6.839130371389817e-10])",4.0,"[-1462174189.9999626,-323.56844280845127,-33.46054104343493,31.45040980493086]"
629,1472365318,109,68,NON-COMPLIANCE W/ POSTED SIGN,0840P,7,07052021,11.0,"(99,[68],[1.0])","(123,[109],[1.0])","(224,[0,1,111,193],[1472365318.0,11.0,1.0,1.0])","(224,[0,1,111,193],[0.9999999911706696,7.470971890195912e-09,6.79179262745083e-10,6.79179262745083e-10])",28.0,"[-1472365317.9999623,-325.74779517971723,-33.626068611012954,31.33807522932064]"
630,1462180255,0,68,NON-COMPLIANCE W/ POSTED SIGN,0841A,6,06242021,11.0,"(99,[68],[1.0])","(123,[0],[1.0])","(224,[0,1,2,193],[1462180255.0,11.0,1.0,1.0])","(224,[0,1,2,193],[0.9999999911091674,7.523012203581453e-09,6.839102003255867e-10,6.839102003255867e-10])",1.0,"[-1462180254.9999626,-323.57130267647966,-33.417588462331786,31.263250692126146]"
